banknumber gov_bonds corp_bonds I_i R_i Y_i E lambda CET1ratio tier1_capital total_leverage_ratio_exposures equities C_i O_i
AT01 16+28487 4087+914+3056 5482 5099 56530+63088 12135.72 5.8 12.3 12135.72 210081.01
AT02 2943+15319 2508+1083+596 7755 2752 46931+28525 7538.00 4.6 10.5 7538.00 163149.52
BE03 28+8972 2865+3208+1914 23573 6297 24418+26019 7478.84 5.3 15.9 7478.84 140560.41
BE04 82+41793 3318+2671+700 9823 5506 57068+67210 13244.50 6.3 15.2 14694.12 232497.26
DK05 0+11737 26480+711+69 7664 27846 91119+125354 18004.58 4.7 16.1 20707.00 438746.83
DK06 86+373 7021+1021+226 1293 4799 22329+24768 3805.98 5.3 16.1 3914.45 73996.54
DK07 0+0 0+0+0 398 1547 43304+110347 8110.61 4.4 19.4 8577.98 194896.50
FI08 0+4099 5871+375+1135 678 790 26125+47757 8053.16 7.2 19.5 8193.82 113895.08
FR09 3+32570 15599+20576+3822 73553 21221 78653+288633 39551.88 6.5 15.5 41159.34 633897.55
FR10 0+888 682+435+718 2610 3403 5663+58677 7154.81 3.5 13.2 7954.81 227550.40
FR11 5305+119999 17005+13417+6891 15607 38799 342287+300567 69562.06 4.2 11.0 76853.63 1834479.45
FR12 7874+63704 40171+24724+7439 0 26059 285364+404992 68845.92 5.6 13.5 77760.18 1401001.16
FR13 310+46317 2789+15990+9311 46414 54362 213120+301350 50965.94 4.7 13.0 52215.87 1121064.00
FR14 2133+50517 6890+1421+3075 0 32682 211856+178203 40735.09 4.2 11.4 49926.40 1196041.55
DE15 699+50106 28076+23841+10321 65461 194693 127777+218778 52429.45 4.2 13.2 58222.30 1398844.00
DE16 0+47837 20203+10843+5755 70524 19182 102797+78056 27303.40 5.1 13.8 27303.40 531531.00
DE17 208+18990 2570+2046+650 30286 25822 52706+15780 12412.84 5.4 16.6 13180.20 242407.65
DE18 0+14730 10875+2011+348 29072 9373 77500+21215 10506.98 4.7 15.2 10732.98 230674.00
DE19 6+17908 13012+3077+2081 21971 7188 71567+6402 8268.43 4.4 13.0 8388.42 192812.70
DE20 0+7945 14152+1099+244 17049 11615 56111+5600 7563.98 4.5 13.8 8171.02 183275.35
DE21 3+26570 12364+7462+1944 31524 542 14947+6284 18335.03 11.8 42.8 18335.03 155422.90
DE22 61+2446 0+9416+0 524 4024 46864+48930 12966.72 11.4 12.0 12966.72 113505.00
DE23 0+5990 4445+2098+2277 27606 8607 11834+6 4488.79 4.5 14.4 4794.55 107274.93
HU24 114+6615 53+129+29 999 185 7009+12730 2811.08 8.2 13.4 2811.08 34237.23
IE25 0+14266 4594+6398+57 1563 742 28280+40429 9284.61 9.2 15.9 9778.88 106342.64
IE26 0+8398 2940+502+1719 2870 1219 32043+57663 7089.36 6.6 13.3 7897.23 118847.00
IT27 109+57323 2749+6779+1964 25292 42453 193878+114431 36908.16 6.8 13.0 39210.08 579786.03
IT28 352+129328 16150+10624+3231 56266 54203 300602+147879 41372.32 4.6 10.6 44917.22 969936.10
IT29 0+16898 1117+672+61 4312 8774 76487+45455 8503.14 5.2 12.0 9101.45 174280.36
IT30 0+17308 1881+1004+28 1927 11931 48734+24756 5885.49 5.0 13.2 5885.49 118085.00
IT31 0+17924 262+198+403 3035 4849 47211+36002 7408.89 6.0 12.1 7408.89 123412.19
NL32 1303+63027 26536+5273+5428 20936 6090 208960+293330 41553.81 4.3 12.9 46411.80 1072000.00
NL33 1159+29108 2795+4959+513 31112 49942 196115+208790 28754.27 5.1 13.5 35052.11 686486.00
NL34 46+33583 4634+1157+57 21308 31467 77590+163837 16750.25 3.9 15.5 18208.99 464535.95
NL35 0+9636 2314+4334+2086 10054 1281 50527+3708 3157.48 2.6 24.7 3581.28 139376.26
NO36 0+2559 5449+461+0 2187 2263 73951+79666 15744.61 6.4 14.3 16813.75 263062.96
PL37 2354+6709 356+0+1366 1027 1143 11009+31590 5771.32 9.2 13.3 5771.32 62999.00
ES38 4943+80461 13854+14496+8929 76727 33987 268673+495186 73454.09 5.4 12.7 73454.09 1364683.53
ES39 2306+69306 4806+13716+9031 28701 14956 186296+194093 48553.76 6.3 12.0 48553.76 765723.50
ES40 0+18120 562+3022+322 7028 17928 66581+123801 20362.34 6.2 11.7 20362.34 330822.01
ES41 0+35890 4604+23203+621 1745 1219 38390+74526 12123.23 5.8 14.6 12123.23 208028.10
ES42 0+330 79+458+269 4291 8345 62232+32490 9827.87 6.2 13.1 9827.87 157788.27
ES43 0+19049 726+2367+155 7111 2051 58723+86031 10192.16 4.8 11.7 10192.16 212267.83
SE44 709+10160 22014+1253+744 6163 6098 136057+160962 23575.28 4.6 16.5 26515.91 576317.25
SE45 2301+1900 3672+0+0 5321 2580 95019+105869 11005.52 4.4 21.2 12311.79 279100.93
SE46 10+4630 1066+924+189 5852 12624 73079+57863 11700.24 4.9 18.8 13207.06 267912.16
SE47 0+0 0+0+0 7810 3103 53760+93418 10221.06 5.0 24.1 11376.72 228770.23
UK48 72966+230883 38873+24912+17889 132797 134006 533586+374671 120180.33 5.5 11.9 140791.61 2566727.00
UK49 573+92373 12991+9092+7515 80705 173976 151211+300779 55800.70 5.1 11.4 72006.75 1400379.31
UK50 2299+49923 1686+10660+349 27155 31682 157280+220741 51382.39 6.6 15.5 63257.82 957127.87
UK51 170+40855 7268+15902+3108 4644 30393 115787+462842 39642.11 5.2 13.0 50541.28 968808.09
