adverse_RWCR adverse_leverage
0+61289 0+2712
0+11472 0+670
27261+34502 1440+516
61268+72341 3408+6852
121140+102983 2469+895
34019+24699 1278+512
48729+97407 2400+1185
0+48577 0+386
87056+257016 2370+7113
0 0
394534+223599 15867+13165
158852+468233 2782+14774
97210+295046 4429+9863
223954+137269 6617+6686
307366+194827 6863+4676
145076+101285 5343+1505
0 0
16466 423
2570 22
4854 61
0 0
0 0
0 0
0 0
18438 3185
52622 3267
162803+72532 39654+11521
192697+116562 36086+22378
25688+45387 25199+18324
26925+26363 14785+4498
31342+25739 6898+3818
252594+309559 7834+6415
209135+255283 11230+3987
93918+171570 5211+2559
0 0
87530+78754 1643+361
0 0
146404+345217 13172+9531
101568+102702 9857+5967
39490+124536 8028+7125
29974+52648 6714+3425
14868+27720 4721+3031
27986+65460 9591+3967
138695+169915 4115+2491
91219+100233 695+295
74221+58346 264+367
43172+105738 166+352
592038+365130 7559+6431
265976+268287 3036+6456
208487+234405 6214+10043
23+531694 0+7524
