banknumber gov_bonds corp_bonds I_i R_i T2C CET1E lambda CET1ratio tier1_capital equities C_i O_i
AT01 13+27682 3367+785+2393 0 R_i 4940 14712 6.55 13.37 15368
AT02 1172+14788 2676+619+506 8914 x 3053 9266 6.12 12.89 9839
BE03 27+8580 2125+1846+1697 13756 x 1288 8141 5.59 16.08 8141
BE04 137+39879 3264+2142+720 6284 x 2176 15134 6.08 16.46 16552
DK05 0+9749 32116+1148+53 7917 x 2575 17830 4.41 17.62 20302
DK06 22+277 6086+960+212 1032 x 454 4129 5.42 16.35 4557
DK07 0+0 0+0+0 198 x 1592 9354 4.80 20.69 9852
FI08 0+3885 6349+303+1427 450 x 1121 9891 7.85 20.10 9973
FR09 4637+100601 8119+12892+5508 18348 x 10241 76135 4.68 11.77 84417
FR10 931+23727 14467+12582+5003 42652 x 8070 44420 6.58 17.44 45578
FR11 590+45215 3872+9016+8896 39243 x 14557 59042 5.05 15.28 59490
FR12 5105+65660 34149+19881+10763 63282 x 12880 77398 5.62 14.84 84292
FR13 0+26045 8918+1083+1409 2365 x 2541 8522 4.53 13.07 9322
FR14 3231+47547 5093+1320+920 55716 x 11100 40861 4.30 11.57 49514
DE15 0+12367 8969+1069+113 25286 x 1362 9393 4.04 15.32 9393
DE16 0+31429 10694+8533+5055 39174 x 5403 25607 5.51 14.94 25985
DE17 609+38258 15385+2382+3318 63404 x 6384 50808 4.13 14.80 57631
DE18 211+27823 18263+4147+3160 88074 x 2687 18134 4.61 13.81 19923
DE19 501+7497 9921+3593+668 47734 x 4075 11955 4.96 15.79 12795
DE20 0+7164 14119+681+120 10975 x 2667 7673 4.88 15.40 8180
DE21 16+12763 10493+2737+1753 19068 x 2227 5803 3.41 12.40 6229
DE22 0+23274 12520+9062+2411 39152 x 1590 18442 11.41 41.74 18442
HU23 132+10463 284+2+216 1696 x 534 4183 9.27 15.21 4183
IE24 0+10833 4532+441+54 788 x 644 10767 11.94 20.81 11028
IE25 0+8669 3985+413+321 1480 x 1456 7113 7.03 15.82 7617
IT26 0+24410 2070+1331+206 2579 x 1936 9379 5.59 12.36 9608
IT27 108+64081 3454+9097+2130 30887 x 7908 38051 6.42 13.27 43466
IT28 446+116846 13813+9690+1755 42835 x 9751 48880 5.73 13.73 54703
IT29 0+12758 228+217+356 2022 x 1721 7755 5.85 11.56 7755
NL30 422+32758 6087+548+23 12338 x 2987 18793 4.03 17.70 19618
NL31 480+23776 2603+1304+410 27201 x 14719 31263 6.03 15.77 37204
NL32 2126+55158 15863+6374+2671 25882 x 7085 45581 4.65 14.71 50325
NL33 0+8876 2415+3926+1902 13904 x 0 3533 3.49 30.35 4266
NO34 0+2951 5847+0+184 5270 x 2973 16710 6.90 16.21 18293
PL35 2657+7436 0+46+1715 701 x 299 4705 9.79 16.41 4705
PL36 1005+10698 110+69+1409 1209 x 407 7739 10.54 16.50 7739
ES37 1363+55263 1968+9144+2964 30175 x 8798 42341 6.62 11.67 46980
ES38 0+22258 839+1221+205 5853 x 1348 10415 4.97 13.44 11111
ES39 3807+109570 9200+14652+11047 63726 x 13422 74173 5.28 12.26 77283
ES40 0+26928 85+1806+1375 7945 x 4973 18966 5.54 12.73 19074
SE41 115+7909 26842+843+843 4448 x 3738 24515 5.20 19.49 28008
SE42 22+3773 593+633+0 4114 x 1601 12035 5.24 19.35 13452
SE43 8715+3356 3372+0+0 2266 x 1691 11760 4.57 22.73 12954
SE44 6617+0 334+0+0 1625 x 1394 10231 5.25 24.61 11356
UK45 924+49698 11442+2479+1182 63836 x 14947 46847 4.79 13.28 60765
UK46 65831+163799 29559+10375+5471 116299 x 26218 105279 5.91 14.50 125976
UK47 29+39141 3706+12868+2571 4801 x 9390 33417 5.12 14.06 40948
UK48 1043+46973 2461+8059+506 23326 x 9441 36015 5.82 15.91 44577
